Traj_id,Time_list
129,"[1470037238.0,1470037283,1470037331,1470037659,1470037824,1470037834,1470037849.0,1470037864,1470038364,1470038383,1470038403]"
130,"[1470037216,1470037220,1470037230,1470037240,1470037260,1470037653,1470037673,1470038307.5,1470038338,1470038423,1470038448,1470038458]"
131,"[1470036872,1470036882,1470036892,1470036932,1470037643,1470037659,1470037671,1470037673,1470037683,1470037693,1470038017,1470038029,1470038049,1470038068]"
132,"[1470037212,1470037216,1470037282.0,1470037302,1470037652,1470037672,1470037682,1470038316.0,1470038338,1470038469]"
133,"[1470036896,1470036926,1470036936,1470036956,1470036966,1470037316,1470037651,1470037671,1470037689,1470038294,1470038304]"
134,"[1470036856,1470036881.0,1470036896,1470036906,1470036926,1470038268,1470038278,1470038284,1470038423,1470038463]"
135,"[1470037232,1470037242,1470037265,1470037295,1470037303,1470037307,1470037327,1470037627,1470037657,1470037815,1470037823,1470037825,1470037853,1470038137.0,1470038423]"
136,"[1470036724.0,1470036754,1470036814.0,1470036844,1470036894,1470036934,1470037291,1470037294,1470037314,1470037328,1470037498,1470037511,1470037544]"
137,"[1470037263,1470037273,1470037633,1470037832,1470037835,1470037838,1470038236,1470038416.0,1470038423,1470038466]"
138,"[1470036965,1470037647,1470037657,1470038306,1470038326,1470038336,1470038346,1470038430,1470038440,1470038460]"
139,"[1470036888.0,1470036942,1470036945,1470036955,1470037305,1470037325,1470037675,1470038295,1470038305,1470038315,1470038325,1470038335,1470038343,1470038346]"
140,"[1470036868,1470037654,1470037660,1470037672,1470037682,1470037688,1470037816,1470037826,1470037834,1470037860.0,1470038416]"
141,"[1470036860,1470036870,1470036880,1470036900,1470036915.0,1470036930,1470036940,1470036970,1470037305,1470037315,1470037665,1470037685,1470038325,1470038353,1470038416,1470038426,1470038431,1470038434]"
142,"[1470036868,1470036878,1470036882,1470037340,1470037352,1470037354,1470037398,1470037422,1470037432,1470037492,1470037522,1470037612.0,1470037655,1470037708,1470038007,1470038054.75]"
143,"[1470037107,1470037137,1470037147,1470037177,1470037187,1470037227,1470037237,1470037247,1470037271,1470037281,1470037322,1470037646.0,1470038268,1470038288,1470038329,1470038434]"
144,"[1470037241,1470037261,1470037271,1470037629,1470037825,1470037838,1470037848,1470038237,1470038257,1470038259,1470038433,1470038453,1470038456,1470038459,1470038469]"
145,"[1470037044,1470037056,1470037076,1470037096,1470037192,1470037193,1470037227,1470037656,1470037786,1470038016,1470038106]"
146,"[1470036856,1470036886,1470036916,1470036946.0,1470037297,1470037307,1470037322.0,1470038256.0,1470038286,1470038287,1470038289,1470038291,1470038414,1470038418,1470038423]"
147,"[1470037223,1470037225,1470037290,1470037680,1470037808,1470038245,1470038265,1470038285,1470038315,1470038335,1470038345,1470038365.0,1470038385]"
148,"[1470037222,1470037262,1470037292,1470037296,1470037305,1470037316,1470037322,1470037659,1470037845.0,1470037869,1470038229]"
149,"[1470036607,1470036635,1470036643,1470036663,1470036683,1470036693,1470036703,1470036772,1470036805,1470036807,1470036847,1470036851,1470036871,1470036877]"
150,"[1470037230,1470037250,1470037260,1470037270,1470037280,1470037290,1470038141,1470038161,1470038171,1470038181,1470038231,1470038291,1470038331,1470038411]"
151,"[1470037276,1470037306,1470037316,1470037635,1470037645,1470037655,1470038343.0,1470038413,1470038423,1470038463]"
152,"[1470037232,1470037243,1470037288.0,1470037333,1470037373,1470037453,1470037473,1470037506,1470037547,1470037567,1470038319.0,1470038446]"
153,"[1470037216,1470037226,1470037236,1470037281.0,1470037732,1470037736,1470037779,1470038355,1470038366,1470038390.5]"
154,"[1470036867,1470036944,1470036954,1470036960,1470036966,1470036969,1470036973,1470037281,1470037815,1470037865,1470038395]"
155,"[1470037222,1470037272,1470037285,1470037311,1470037677,1470037680,1470038302,1470038322.0,1470038342,1470038362]"
156,"[1470036729,1470036833,1470036843,1470036889,1470037270,1470037654.2,1470037691,1470038278,1470038302.3333333,1470038333,1470038374]"
157,"[1470037265,1470037525,1470037531,1470037536,1470037537.5,1470037542,1470038328,1470038336,1470038337,1470038367.0]"
158,"[1470036972,1470037222.5,1470037300,1470037310,1470037851,1470038219,1470038243,1470038263,1470038422,1470038446]"
159,"[1470037223,1470037273,1470037303,1470037819,1470037829,1470037838,1470037848,1470037856.0,1470037859,1470037869,1470037879,1470037887,1470037899]"
160,"[1470037234,1470037242,1470037277,1470037644,1470037812,1470037822,1470037842,1470037852,1470037872,1470038242,1470038252,1470038278,1470038388]"
161,"[1470036694,1470036741,1470036826,1470036862,1470036937.0,1470037332,1470037659.0,1470037843,1470037863,1470038243,1470038263,1470038388,1470038390,1470038400]"
162,"[1470036864,1470036874,1470036920,1470036925,1470036945,1470037309,1470037688,1470038316,1470038329,1470038339,1470038369]"
163,"[1470036887,1470036927,1470037279,1470037299,1470037319.0,1470037836,1470037846,1470037856,1470038411,1470038454]"
164,"[1470036869,1470036879,1470036889,1470036929.5,1470036951,1470037642,1470037686,1470038319.0,1470038343,1470038396]"
165,"[1470037236,1470037246,1470037266,1470037276,1470037286,1470037306,1470038242,1470038252,1470038272,1470038432]"
166,"[1470037254,1470037285,1470037295,1470037674,1470037684,1470038305,1470038315,1470038335,1470038415,1470038418,1470038452,1470038466]"
167,"[1470037292,1470037305,1470037641,1470037651,1470038310,1470038320,1470038330,1470038333,1470038346,1470038466]"
168,"[1470037228,1470037638,1470037648,1470037668,1470037687,1470038294,1470038304,1470038308,1470038420,1470038440,1470038470]"
169,"[1470036924,1470036944,1470037641.0,1470037700,1470037703,1470037723,1470037779,1470037780,1470037781,1470037787,1470037906]"
170,"[1470036860.0,1470036905,1470036925,1470036935,1470036945,1470036955,1470037273,1470037636.5,1470037661,1470037677,1470037861,1470038038.0,1470038089]"
171,"[1470036863.0,1470036888,1470036898,1470036908,1470036918,1470036928,1470036937,1470037321,1470038296,1470038340,1470038360.5,1470038382]"
172,"[1470037221,1470037225,1470037227,1470037244,1470037259.0,1470037274,1470037284,1470037294,1470037660,1470037680,1470037690,1470038302,1470038332,1470038458]"
173,"[1470036860,1470036915,1470036945,1470036955,1470036965,1470037305,1470037633,1470037643,1470037813,1470037823,1470037843,1470038242,1470038277]"
174,"[1470036922,1470037291,1470037653.0,1470037683,1470037845,1470037847,1470038265,1470038274,1470038277,1470038279]"
175,"[1470036855,1470036860,1470036920,1470036940,1470036960,1470036970,1470037854,1470037864,1470038451,1470038457.5,1470038462.5]"
176,"[1470036861.0,1470036895,1470036905,1470036907,1470036914,1470036924,1470037175,1470037185,1470037190,1470037201,1470037221,1470037261,1470037271,1470037301,1470038298,1470038308,1470038440]"
177,"[1470036877,1470036897,1470036917,1470036927,1470036937,1470036957,1470037324,1470037648,1470037827,1470037862,1470038019,1470038065,1470038075]"
178,"[1470037232,1470037282,1470037292,1470037302,1470037319,1470037329,1470037637,1470037804,1470038374,1470038394]"
179,"[1470035123,1470035467,1470036642.3333333,1470036663,1470036752,1470036757,1470036763,1470036776,1470036779,1470036782,1470036785]"
180,"[1470036882,1470036931,1470036951,1470037643,1470037683,1470037723,1470037729,1470037981,1470037991,1470038001,1470038011,1470038147]"
181,"[1470037253,1470037263,1470037273,1470037280,1470037282,1470037302,1470037312,1470037332,1470038325,1470038335]"
182,"[1470037219,1470037229,1470037239,1470037241,1470037676.5,1470037680,1470037690,1470038349,1470038368,1470038373]"
183,"[1470037219,1470037229,1470037279,1470037317,1470037685,1470037755,1470037765,1470037995,1470038045,1470038205]"
184,"[1470036855,1470036865,1470036875,1470036927,1470036961,1470036971,1470037288,1470037318.0,1470037639,1470037653,1470037723,1470037995,1470038026,1470038036,1470038046]"
185,"[1470035148,1470037662,1470037687,1470038314,1470038324,1470038334,1470038344,1470038354,1470038364,1470038389]"
186,"[1470037251,1470037273,1470037283,1470037296.5,1470037658,1470037678,1470037688,1470038336,1470038420.0,1470038433,1470038439]"
187,"[1470037213,1470037232,1470037233,1470037265.5,1470037656,1470037666,1470037676,1470037686,1470037826,1470038252,1470038430.0]"
188,"[1470036863,1470036878,1470036883,1470036893,1470036911,1470037280,1470038312,1470038332,1470038342,1470038352,1470038472]"
189,"[1470037217,1470037227,1470037237,1470037257.0,1470037277,1470037281.0,1470037283,1470037285,1470038328,1470038351]"
190,"[1470037213,1470037223,1470037233,1470037238,1470037258,1470037268,1470037278,1470037288,1470037655,1470037665,1470037845,1470038238,1470038239,1470038269,1470038279]"
191,"[1470036964,1470037628,1470037648,1470037658,1470037668,1470037674,1470038305,1470038309,1470038339,1470038424,1470038444]"
192,"[1470036863,1470036914.5,1470036930,1470036938,1470036940,1470036949,1470037290.0,1470037309.5,1470037637,1470038341]"
193,"[1470037215,1470037225,1470037231,1470037232,1470037233,1470037243,1470037246,1470037266,1470037276,1470037306.0,1470037645.0,1470037661,1470037662,1470037686,1470037856,1470038387,1470038393,1470038395,1470038397,1470038400]"
194,"[1470037644.0,1470037664,1470038335,1470038340,1470038345,1470038349,1470038353,1470038362,1470038375,1470038379,1470038384,1470038406,1470038412]"
195,"[1470036893,1470036923,1470036929,1470036955,1470037277,1470037308,1470037329,1470037637,1470037738,1470037776.6666667,1470037939,1470037941.5,1470037943,1470037958.0]"
196,"[1470036861,1470036871,1470036911.0,1470036951,1470036961,1470036971,1470037669,1470037689,1470037699,1470037729,1470038016,1470038051.0,1470038226]"
197,"[1470037231,1470037281,1470037291,1470037311,1470037321,1470037633,1470037653,1470037671,1470038259,1470038279]"
198,"[1470036868.0,1470036918,1470036923,1470037286,1470037306,1470037316,1470037326,1470037652,1470037845,1470038282]"
199,"[1470036914,1470036934,1470037274,1470037294,1470037314,1470037324,1470038324,1470038415,1470038441,1470038452]"
200,"[1470037262,1470037285,1470037295,1470037298.5,1470037303,1470037318.0,1470037854,1470038248,1470038257,1470038463]"
201,"[1470036855,1470036864,1470036889.0,1470036904,1470036924,1470036954,1470036964,1470037634,1470037686,1470038404.0]"
202,"[1470037200,1470037260,1470037635,1470037639,1470037674,1470037795,1470037805,1470038127,1470038137,1470038193]"
203,"[1470037205,1470037245,1470037275,1470037285,1470037305,1470037325,1470037642,1470037667,1470037680,1470037696,1470037706,1470037716,1470038373]"
204,"[1470037256.0,1470037311,1470037321,1470037328,1470038297,1470038337,1470038347,1470038420,1470038430,1470038460]"
