node,lng,lat
455,121.5882136,31.240886
456,121.5873498,31.2403289
457,121.586549,31.239825
458,121.5852267,31.239088
459,121.5843506,31.2387083
460,121.5882546,31.2408006
461,121.5597581,31.2368059
462,121.5485654,31.2312074
463,121.5412458,31.2286317
464,121.5406627,31.2283899
465,121.5386391,31.2272497
466,121.5328811,31.2229791
467,121.5327853,31.2228366
468,121.5313323,31.2198521
469,121.5307807,31.2184763
470,121.5248551,31.2036496
471,121.5225514,31.2016772
472,121.5216692,31.2018764
473,121.5213742,31.2018551
474,121.4923898,31.2086659
475,121.4883322,31.2056029
476,121.4864078,31.2041853
477,121.4851091,31.2034771
478,121.4818623,31.2023586
479,121.3798485,31.1939885
480,121.3810163,31.1945495
481,121.3911259,31.2006018
482,121.392201,31.2011081
483,121.3932848,31.2014897
484,121.4009744,31.2035225
485,121.4019666,31.2040279
486,121.4043091,31.2057297
487,121.3850104,31.1871746
488,121.3827627,31.1897885
489,121.3797328,31.1941534
490,121.3858657,31.1978046
491,121.390333,31.2003184
492,121.3911105,31.2007643
493,121.3920212,31.2012042
494,121.3932637,31.2016165
495,121.3974959,31.2026773
496,121.4005532,31.2035063
497,121.4018662,31.2041603
498,121.4034018,31.2052392
499,121.4260151,31.214771
500,121.4255387,31.2139887
501,121.4251147,31.2133505
502,121.3843265,31.188108
503,121.4586063,31.2162389
504,121.4616412,31.2169007
505,121.464664,31.2173629
506,121.4657396,31.217512
507,121.4671907,31.2173949
508,121.4674131,31.2173998
509,121.4720328,31.2188011
510,121.4731678,31.2192264
511,121.4752059,31.2198896
512,121.4689274,31.2100316
513,121.4682164,31.2116276
514,121.467291,31.2131229
515,121.4662291,31.2148328
516,121.4660023,31.2156697
517,121.4659961,31.2162108
518,121.4661846,31.2171418
519,121.4665564,31.2185676
520,121.4673774,31.2218085
521,121.467323,31.2226584
522,121.4653802,31.2257029
523,121.4636917,31.2273566
524,121.4630078,31.2283956
525,121.4627,31.2298394
526,121.4627946,31.2294646
527,121.4628254,31.2304014
528,121.4582519,31.2328669
529,121.4575703,31.2328863
530,121.4559743,31.2325142
531,121.4552576,31.232258
532,121.4542501,31.2316963
533,121.4536845,31.2311274
534,121.4528311,31.2306267
535,121.4520324,31.230151
536,121.4492065,31.229
537,121.4470031,31.2277841
538,121.4454689,31.2270355
539,121.5663678,31.2291767
540,121.5621216,31.2376251
541,121.4322437,31.255894
542,121.433162,31.2562737
543,121.4363756,31.2575256
544,121.4383547,31.2582987
545,121.4416001,31.2592953
546,121.4452006,31.2600188
547,121.4606522,31.2385452
548,121.4623988,31.2320357
