section_id,s_node,e_node,length
823,196,197,9.565039776
824,197,198,6.961259032
825,198,199,5.897120342
826,199,200,7.555915982
827,200,201,11.09686195
828,201,202,6.263859253
829,202,203,7.739259684
830,203,270,4.449589362
831,270,204,2.942557573
832,204,66140,2.88292637
833,66140,205,3.951369318
834,205,271,5.351645647
835,271,269,6.184545226
836,269,206,7.139328015
837,206,66136,7.468031201
838,66136,207,1.51893768
839,1090,72477,8.169223522
840,72477,72478,4.100639586
841,72478,1091,8.499978587
842,468,469,9.428991579
843,469,72487,4.842154516
844,72487,67820,2.443523443
845,10011,72485,4.132545564
846,72485,9996,4.191001753
847,1583,53824,2.854501689
848,53824,36564,2.646277468
849,36564,36568,0.490479141
850,36568,36572,0.479093636
851,36572,36576,0.477448765
852,36576,1584,0.477408349
853,1584,11141,3.263511394
854,10181,10205,0.503135934
855,10205,69920,0.564175118
856,69920,10206,0.728485178
857,10206,36509,5.007140186
858,36509,36510,1.141257064
859,36510,36511,1.576466853
860,36511,10207,1.778832086
861,10207,10208,1.879949973
862,10208,36512,0.764803155
863,36512,36513,0.838659223
864,36513,36514,0.618950618
865,36514,36515,0.602268344
866,36515,10209,0.71578998
867,10209,10210,13.87113638
868,10210,36516,15.76406739
869,36516,36517,0.432758676
870,36517,11508,2.342399032
871,11508,62367,0.41710571
872,62367,10211,0.565687039
873,1585,10170,3.276572153
874,10170,66494,0.945650107
875,66494,11142,3.478016676
876,11142,1586,7.405706335
877,1586,36156,23.80257805
878,36156,1587,14.42262034
879,1587,1594,1.835945907
880,1594,1592,1.009703605
881,1592,1590,1.269485939
882,1590,78588,0.663540757
883,78588,1593,0.46709534
884,1588,47265,19.94253949
885,47265,11134,7.139720874
886,11134,1601,13.12748767
887,17532,17533,12.01311497
888,1593,1588,1.573565759
889,1601,62400,12.67550513
890,62400,1602,9.792072091
891,1602,68189,6.530863114
892,68189,10293,0.343796155
893,10293,10294,0.951288423
894,1595,1596,2.32865969
895,1605,11133,12.73791121
896,11133,47266,7.352463746
897,47266,1595,18.23445834
898,1604,62399,9.68914626
899,62399,1605,12.778814
900,36390,10289,0.884681158
901,10289,68188,0.381455142
902,68188,63677,0.86370206
903,63677,1604,5.590446254
904,10294,68193,0.588736082
905,68193,1607,13.00768059
906,1607,62396,10.63733854
907,1606,68192,12.46543153
908,68192,36390,0.551709214
909,1609,10501,7.152036738
910,10501,1376,1.539357663
911,1376,10500,2.229229502
912,10500,14384,17.14443958
913,14384,18073,5.2534122
914,18073,18077,6.799126234
915,18077,18076,7.644966177
916,18076,14386,4.466515094
917,14386,1375,3.790874898
918,1375,18075,3.099821883
919,18075,76941,3.106809244
920,11145,1611,2.602846324
921,1611,1609,1.481664039
922,31677,31678,4.145427222
923,31678,72482,7.016684475
924,72482,72483,2.21040742
925,72483,385,1.628290346
926,385,72770,1.769304778
927,72770,10012,1.479135181
928,1383,39146,5.053886648
929,39146,10423,8.370418272
930,10423,53901,9.346471248
931,53901,10424,7.238710995
932,10424,53902,7.022607863
933,53902,10487,7.753553889
934,10487,10488,4.741159369
935,10488,10489,3.350403627
936,10489,53906,3.385818616
937,53906,53903,3.213417819
938,53903,39147,4.498117591
939,39147,10490,5.163261449
940,10490,53900,5.53327253
941,53900,53911,5.325647975
942,53911,10491,5.706788485
943,10491,10425,5.363302414
944,10425,53905,5.939665868
945,53905,53904,5.477816747
946,53904,10426,8.633592296
947,10426,1384,14.7246074
948,1384,29163,1.73408073
949,29163,29166,1.919198981
950,29166,1385,1.864392112
951,1385,29165,5.426353454
952,29165,1386,9.996564246
953,1386,28201,4.682379127
954,1613,1387,7.974425205
955,1387,11016,8.734744609
956,11016,1614,8.749131396
957,1614,1388,4.892331376
958,1388,25356,3.430189076
959,25356,25681,2.089970169
960,25681,5624,2.248809732
961,5624,25682,1.953662659
962,25682,25683,2.644481055
963,25683,25684,1.667422768
964,25684,11017,3.371740967
965,11017,1615,3.671032772
966,1615,25675,3.616633482
967,25675,9220,3.485396121
968,9220,25670,5.626825311
969,25670,25668,6.539726917
970,25668,1389,6.009582209
971,1389,1390,35.1485312
972,1390,9563,42.58566683
973,9563,9562,15.26813627
974,1412,1413,32.60991209
975,1413,70387,9.777088147
976,70387,1414,4.080248813
977,1414,1415,6.753685066
978,1415,70388,3.309879139
979,70388,1416,5.557376964
980,1416,1624,15.36473721
981,1624,16031,61.59033388
982,16031,51165,25.02549904
983,51165,1417,24.87881815
984,1417,1625,28.95003252
985,18464,47551,31.32659581
986,47551,71816,0.687746524
987,71816,71815,0.826480191
988,71815,5053,0.320419019
989,5053,76243,4.17497526
990,76243,47547,3.94464229
991,47547,50141,3.890305451
992,50141,5054,8.624867956
993,5054,76244,2.523264849
994,76244,61848,7.41741028
995,61848,47541,2.659147209
996,47541,5051,1.908708302
997,5051,76239,6.460291395
998,76239,18461,2.163941892
999,18461,76240,2.218177959
1000,76240,18462,1.581799062
1001,18462,47530,0.659708433
1002,47530,17534,1.094889823
1003,17534,76235,1.205261137
1004,76235,1628,2.614868148
1005,1628,977,14.09857694
1006,977,47540,0.999072581
1007,47540,47537,13.70261266
1008,47537,76236,3.713292579
1009,76236,47536,4.999684727
1010,47536,47533,11.95996517
1011,47533,51872,0.836312303
1012,51872,47534,1.143461051
1013,47534,76226,6.893884007
1014,76226,976,9.073207265
1015,976,10236,3.661259226
1016,10236,76228,15.23419048
1017,76228,975,21.17304757
1018,975,10255,2.910762207
1019,10255,10260,1.0117019
1020,9996,1580,2.841562677
1021,1580,8212,2.514119766
1022,8212,466,7.224745244
